No.,Date and time,Pressure [BAR] (1),TOUGH SONIC [mm] (2)
1,2017-09-19 15:56:23.1,38.58,312
2,2017-09-19 15:57:36.3,38.5,312
3,2017-09-19 15:57:37.3,38.52,313
4,2017-09-19 15:57:38.3,38.55,312
5,2017-09-19 15:57:39.3,38.5,312
6,2017-09-19 15:57:40.3,38.54,312
7,2017-09-19 15:57:41.3,38.5,312
8,2017-09-19 15:57:42.3,38.5,312
9,2017-09-19 15:57:43.3,38.52,314
10,2017-09-19 15:57:44.3,38.53,312
11,2017-09-19 15:57:45.3,38.53,312
12,2017-09-19 15:57:46.3,38.51,312
13,2017-09-19 15:57:47.3,38.51,312
14,2017-09-19 15:57:48.3,38.55,314
15,2017-09-19 15:57:49.3,38.48,312
16,2017-09-19 15:57:50.3,38.47,312
17,2017-09-19 15:57:51.3,38.5,312
18,2017-09-19 15:57:52.3,38.45,312
19,2017-09-19 15:57:53.3,38.47,312
20,2017-09-19 15:57:54.3,38.5,312
21,2017-09-19 15:57:55.3,38.48,312
22,2017-09-19 15:57:56.3,38.5,312
23,2017-09-19 15:57:57.3,38.52,312
24,2017-09-19 15:57:58.3,38.48,312
25,2017-09-19 15:57:59.3,38.52,312
26,2017-09-19 15:58:00.3,38.5,312
27,2017-09-19 15:58:01.3,38.5,312
28,2017-09-19 15:58:02.3,38.52,312
29,2017-09-19 15:58:03.3,38.48,312
30,2017-09-19 15:58:04.3,38.48,312
31,2017-09-19 15:58:05.3,38.45,312
32,2017-09-19 15:58:06.4,38.5,312
33,2017-09-19 15:58:07.4,38.49,312
34,2017-09-19 15:58:08.4,38.5,312
35,2017-09-19 15:58:09.4,38.48,312
36,2017-09-19 15:58:10.4,38.48,312
37,2017-09-19 15:58:11.4,38.48,312
38,2017-09-19 15:58:12.4,38.48,312
39,2017-09-19 15:58:13.4,38.47,312
40,2017-09-19 15:58:14.4,38.5,312
41,2017-09-19 15:58:15.4,38.48,313
42,2017-09-19 15:58:16.4,38.5,312
43,2017-09-19 15:58:17.4,38.48,312
44,2017-09-19 15:58:18.4,38.48,312
45,2017-09-19 15:58:19.4,38.43,314
46,2017-09-19 15:58:20.4,38.45,313
47,2017-09-19 15:58:21.4,38.47,312
48,2017-09-19 15:58:22.4,38.47,312
49,2017-09-19 15:58:23.4,38.47,313
50,2017-09-19 15:58:24.4,38.52,312
51,2017-09-19 15:58:25.4,38.48,312
52,2017-09-19 15:58:26.4,38.48,312
53,2017-09-19 15:58:27.4,38.48,312
54,2017-09-19 15:58:28.4,38.48,314
55,2017-09-19 15:58:29.4,38.49,312
56,2017-09-19 15:58:30.4,38.43,312
57,2017-09-19 15:58:31.4,38.47,312
58,2017-09-19 15:58:32.4,38.48,312
59,2017-09-19 15:58:33.4,38.48,312
60,2017-09-19 15:58:34.4,38.48,313
61,2017-09-19 15:58:35.4,38.5,314
62,2017-09-19 15:58:36.4,38.48,312
63,2017-09-19 15:58:37.4,38.48,312
64,2017-09-19 15:58:38.4,38.52,312
65,2017-09-19 15:58:39.4,38.48,312
66,2017-09-19 15:58:40.4,38.45,312
67,2017-09-19 15:58:41.4,38.47,312
68,2017-09-19 15:58:42.4,38.47,312
69,2017-09-19 15:58:43.4,38.47,312
70,2017-09-19 15:58:44.4,38.5,312
71,2017-09-19 15:58:45.4,38.48,312
72,2017-09-19 15:58:46.4,38.48,312
73,2017-09-19 15:58:47.4,38.47,312
74,2017-09-19 15:58:48.4,38.47,314
75,2017-09-19 15:58:49.4,38.47,312
76,2017-09-19 15:58:50.4,38.48,312
77,2017-09-19 15:58:51.4,38.48,312
78,2017-09-19 15:58:52.4,38.51,312
79,2017-09-19 15:58:53.4,38.5,312
80,2017-09-19 15:58:54.4,38.5,312
81,2017-09-19 15:58:55.4,38.52,312
82,2017-09-19 15:58:56.4,38.48,312
83,2017-09-19 15:58:57.4,38.51,312
84,2017-09-19 15:58:58.4,38.48,312
