No.,Date and time,Pressure [BAR] (1),TRAVEL [M] (3),ROTATION [pulses] (4), DEPTH [none] (27),Max [none] (28)
1,2017-10-04 10:46:39.0,-100.25,0.001,38,0,0
2,2017-10-04 10:53:08.4,-0.83,0.044,38,0.044,0.044
3,2017-10-04 10:53:09.4,-0.87,0.043,38,0,0
4,2017-10-04 10:53:10.4,-0.87,0.043,38,0,0
5,2017-10-04 10:53:11.4,-0.87,0.09,38,0.047,0.047
6,2017-10-04 10:53:12.4,-0.87,0.287,38,0.244,0.244
7,2017-10-04 10:53:13.4,-0.86,0.594,38,0.551,0.551
8,2017-10-04 10:53:14.4,-0.87,0.773,38,0.73,0.73
9,2017-10-04 10:53:15.4,-0.87,0.848,38,0.805,0.805
10,2017-10-04 10:53:16.4,-0.85,0.987,38,0.944,0.944
11,2017-10-04 10:53:17.4,-0.87,0.997,38,0.954,0.954
12,2017-10-04 10:53:18.4,-0.85,0.997,38,0.954,0.954
13,2017-10-04 10:53:19.4,-0.87,0.974,38,0.931,0.954
14,2017-10-04 10:53:33.2,-0.97,0.037,38,-0.006,0.954
15,2017-10-04 10:53:34.2,-0.97,0.037,38,0.912,0.912
16,2017-10-04 10:53:35.2,-0.97,0.052,38,0.927,0.927
17,2017-10-04 10:53:36.2,-1,0.104,38,0.979,0.979
18,2017-10-04 10:53:37.2,-0.95,0.204,38,1.079,1.079
19,2017-10-04 10:53:38.2,-0.93,0.302,38,1.177,1.177
20,2017-10-04 10:53:39.2,-0.97,0.442,38,1.317,1.317
21,2017-10-04 10:53:40.2,-0.97,0.537,38,1.412,1.412
22,2017-10-04 10:53:41.2,-0.95,0.618,38,1.493,1.493
23,2017-10-04 10:53:42.2,-0.93,0.74,38,1.615,1.615
24,2017-10-04 10:53:43.2,-0.96,0.854,38,1.729,1.729
25,2017-10-04 10:53:44.2,-0.97,0.957,38,1.832,1.832
26,2017-10-04 10:53:45.2,-0.97,1.058,38,1.933,1.933
27,2017-10-04 10:53:46.2,-1.02,1.113,38,1.988,1.988
28,2017-10-04 10:53:47.2,-0.98,1.113,38,1.988,1.988
29,2017-10-04 10:53:48.2,-0.95,1.09,38,1.965,1.988
30,2017-10-04 10:54:01.1,-1.02,0.047,38,1.972,1.988
31,2017-10-04 10:54:02.1,-1,0.049,38,1.964,1.964
32,2017-10-04 10:54:03.1,-1,0.112,38,2.027,2.027
33,2017-10-04 10:54:04.1,-0.99,0.148,38,2.063,2.063
34,2017-10-04 10:54:05.1,-1.1,0.168,38,2.083,2.083
35,2017-10-04 10:54:06.1,-1.08,0.231,38,2.146,2.146
36,2017-10-04 10:54:07.1,-1.08,0.318,38,2.233,2.233
37,2017-10-04 10:54:08.1,-1.08,0.431,38,2.346,2.346
38,2017-10-04 10:54:09.1,-1.08,0.518,38,2.433,2.433
39,2017-10-04 10:54:10.1,-1.08,0.628,38,2.543,2.543
40,2017-10-04 10:54:11.1,-1.1,0.746,38,2.661,2.661
41,2017-10-04 10:54:12.1,-1.08,0.858,38,2.773,2.773
42,2017-10-04 10:54:13.1,-1.08,0.935,38,2.85,2.85
43,2017-10-04 10:54:14.1,-1.08,1.069,38,2.984,2.984
44,2017-10-04 10:54:15.1,-1.07,1.148,38,3.063,3.063
45,2017-10-04 10:54:16.1,-1.07,1.098,38,3.013,3.063
46,2017-10-04 10:54:28.4,-1.1,0.033,38,2.971,3.063
47,2017-10-04 10:54:29.4,-1.1,0.041,38,2.993,2.993
48,2017-10-04 10:54:30.4,-1.08,0.063,38,3.015,3.015
49,2017-10-04 10:54:31.4,-1.15,0.195,38,3.147,3.147
50,2017-10-04 10:54:32.4,-1.12,0.312,38,3.264,3.264
51,2017-10-04 10:54:33.4,-1.12,0.363,38,3.315,3.315
52,2017-10-04 10:54:34.4,-1.13,0.512,38,3.464,3.464
53,2017-10-04 10:54:35.4,-1.13,0.713,38,3.665,3.665
54,2017-10-04 10:54:36.4,-1.08,0.828,38,3.78,3.78
55,2017-10-04 10:54:37.4,-1.12,0.874,38,3.826,3.826
56,2017-10-04 10:54:38.4,-1.12,0.928,38,3.88,3.88
57,2017-10-04 10:54:39.4,-1.08,0.976,38,3.928,3.928
58,2017-10-04 10:54:40.4,-1.09,1.018,38,3.97,3.97
59,2017-10-04 10:54:41.4,-1.11,1.018,38,3.97,3.97
60,2017-10-04 10:54:42.4,-1.1,0.997,38,3.949,3.97
61,2017-10-04 10:55:28.9,32.68,0.04,38,3.939,3.97
62,2017-10-04 10:55:29.9,32.68,0.04,38,3.932,3.932
63,2017-10-04 10:55:30.9,32.67,0.072,38,3.964,3.964
64,2017-10-04 10:55:31.9,32.65,0.173,38,4.065,4.065
65,2017-10-04 10:55:32.9,32.67,0.223,38,4.115,4.115
66,2017-10-04 10:55:33.9,32.63,0.313,38,4.205,4.205
67,2017-10-04 10:55:34.9,32.63,0.384,38,4.276,4.276
68,2017-10-04 10:55:35.9,32.63,0.454,38,4.346,4.346
69,2017-10-04 10:55:36.9,32.63,0.53,38,4.422,4.422
70,2017-10-04 10:55:37.9,32.63,0.601,38,4.493,4.493
71,2017-10-04 10:55:38.9,32.59,0.659,38,4.551,4.551
72,2017-10-04 10:55:39.9,32.58,0.738,38,4.63,4.63
73,2017-10-04 10:55:40.9,32.61,0.787,38,4.679,4.679
74,2017-10-04 10:55:41.9,32.58,0.839,38,4.731,4.731
75,2017-10-04 10:55:42.9,32.55,0.878,38,4.77,4.77
76,2017-10-04 10:55:43.9,32.48,0.922,38,4.814,4.814
77,2017-10-04 10:55:44.9,32.5,0.973,38,4.865,4.865
78,2017-10-04 10:55:45.9,32.47,1.002,38,4.894,4.894
79,2017-10-04 10:55:46.9,32.45,1.001,38,4.893,4.895
80,2017-10-04 10:55:47.9,32.38,0.981,38,4.873,4.895
81,2017-10-04 10:55:48.9,32.42,0.958,38,4.85,4.895
82,2017-10-04 10:56:04.0,32.34,0.028,38,4.821,4.895
83,2017-10-04 10:56:05.0,32.33,0.05,38,4.852,4.852
84,2017-10-04 10:56:06.0,32.33,0.089,38,4.891,4.891
85,2017-10-04 10:56:07.0,32.29,0.121,38,4.923,4.923
86,2017-10-04 10:56:08.0,32.28,0.134,38,4.936,4.936
87,2017-10-04 10:56:09.0,32.3,0.146,38,4.948,4.948
88,2017-10-04 10:56:10.0,32.28,0.16,38,4.962,4.962
89,2017-10-04 10:56:11.0,32.3,0.168,38,4.97,4.97
90,2017-10-04 10:56:12.0,32.3,0.183,38,4.985,4.985
91,2017-10-04 10:56:13.0,32.3,0.191,38,4.993,4.993
92,2017-10-04 10:56:14.0,32.28,0.209,38,5.011,5.011
93,2017-10-04 10:56:15.0,32.28,0.228,38,5.03,5.03
94,2017-10-04 10:56:16.0,32.28,0.24,38,5.042,5.042
95,2017-10-04 10:56:17.0,32.28,0.263,38,5.065,5.065
96,2017-10-04 10:56:18.0,32.3,0.281,38,5.083,5.083
