No.,Date and time,FORCE [none] (32),Max [none] (28),TRAVEL [M] (3), DEPTH [none] (27),ROT COUNTER [pulses] (4),RPM [none] (11)
1,2017-10-09 16:36:50.7,278.7,0,0,0,0,0
2,2017-10-09 16:41:12.3,272.7,0.031,0.031,0.031,0,0
3,2017-10-09 16:41:13.3,272.5,0,0.03,-0.001,0,0
4,2017-10-09 16:41:14.3,272.5,0,0.029,-0.002,0,0
5,2017-10-09 16:41:15.3,272.3,0,0.029,-0.002,0,0
6,2017-10-09 16:41:16.3,272.5,0,0.026,-0.005,0,0
7,2017-10-09 16:41:17.3,272.5,0,0.026,-0.005,0,0
8,2017-10-09 16:41:18.3,272.3,0,0.026,-0.005,0,0
9,2017-10-09 16:41:19.3,272.3,0,0.026,-0.005,0,0
10,2017-10-09 16:41:20.3,272.3,0,0.026,-0.005,0,0
11,2017-10-09 16:41:21.3,272.3,0,0.026,-0.005,0,0
12,2017-10-09 16:41:22.3,272.3,0,0.026,-0.005,0,0
13,2017-10-09 16:41:23.3,272.3,0,0.026,-0.005,0,0
14,2017-10-09 16:41:24.3,272.3,0,0.026,-0.005,0,0
15,2017-10-09 16:41:25.3,271.8,0,0.024,-0.007,0,0
16,2017-10-09 16:41:26.3,272,0,0.02,-0.011,0,0
17,2017-10-09 16:41:27.3,272.2,0,0.02,-0.011,0,0
18,2017-10-09 16:41:28.3,272,0,0.024,-0.007,0,0
19,2017-10-09 16:41:29.3,272.2,0,0.025,-0.006,0,0
20,2017-10-09 16:41:30.3,272.3,0,0.026,-0.005,0,0
21,2017-10-09 16:41:31.3,272,0,0.029,-0.002,0,0
22,2017-10-09 16:41:32.3,272.4,0,0.029,-0.002,0,0
23,2017-10-09 16:41:33.3,272.3,0.004,0.035,0.004,0,0
24,2017-10-09 16:41:34.3,271.8,0.004,0.035,0.004,0,0
25,2017-10-09 16:41:35.3,272.2,0.012,0.043,0.012,0,0
26,2017-10-09 16:41:36.3,272.2,0.013,0.044,0.013,0,0
27,2017-10-09 16:41:37.3,272,0.014,0.045,0.014,0,0
28,2017-10-09 16:41:38.3,271.8,0.014,0.045,0.014,0,0
29,2017-10-09 16:41:39.3,271.8,0.014,0.045,0.014,1,0
30,2017-10-09 16:41:40.3,271.8,0.014,0.045,0.014,0,0
31,2017-10-09 16:41:41.3,271.5,0.014,0.045,0.014,0,0
32,2017-10-09 16:41:42.4,271.7,0.014,0.045,0.014,0,0
33,2017-10-09 16:41:43.4,271.8,0.015,0.046,0.015,0,0
34,2017-10-09 16:41:44.4,271.8,0.017,0.048,0.017,0,0
35,2017-10-09 16:41:45.4,271.8,0.017,0.048,0.017,0,0
36,2017-10-09 16:41:46.4,272,0.017,0.048,0.017,1,0
37,2017-10-09 16:41:47.4,271.8,0.017,0.048,0.017,1,0
38,2017-10-09 16:41:48.4,271.8,0.019,0.05,0.019,3,0
39,2017-10-09 16:41:49.4,271.8,0.019,0.05,0.019,4,0
40,2017-10-09 16:41:50.4,271.8,0.019,0.05,0.019,0,48
41,2017-10-09 16:41:51.4,271.5,0.022,0.053,0.022,0,48
42,2017-10-09 16:41:52.4,271.5,0.023,0.054,0.023,1,48
43,2017-10-09 16:41:53.4,271.3,0.023,0.054,0.023,4,48
44,2017-10-09 16:41:54.4,271.7,0.026,0.057,0.026,7,48
45,2017-10-09 16:41:55.4,271.7,0.026,0.057,0.026,0,120
46,2017-10-09 16:41:56.4,271.3,0.026,0.057,0.026,4,120
47,2017-10-09 16:41:57.4,271.3,0.03,0.061,0.03,4,120
48,2017-10-09 16:41:58.4,271.3,0.03,0.061,0.03,6,120
49,2017-10-09 16:41:59.4,271.3,0.033,0.064,0.033,7,120
50,2017-10-09 16:42:00.4,271.3,0.037,0.068,0.037,0,120
51,2017-10-09 16:42:01.4,271.2,0.038,0.069,0.038,4,120
52,2017-10-09 16:42:02.4,271.5,0.04,0.071,0.04,7,120
53,2017-10-09 16:42:03.4,271.3,0.042,0.073,0.042,10,120
54,2017-10-09 16:42:04.4,271.5,0.042,0.073,0.042,14,120
55,2017-10-09 16:42:05.4,271.3,0.042,0.072,0.041,0,120
56,2017-10-09 16:42:06.4,271.7,0.042,0.069,0.038,3,120
57,2017-10-09 16:42:07.4,271.5,0.042,0.069,0.038,7,120
58,2017-10-09 16:42:08.4,271.3,0.042,0.07,0.039,10,120
59,2017-10-09 16:42:09.4,271,0.042,0.073,0.042,14,120
60,2017-10-09 16:42:10.4,271.2,0.044,0.075,0.044,0,120
61,2017-10-09 16:42:11.4,270.8,0.045,0.076,0.045,4,120
62,2017-10-09 16:42:12.4,271.2,0.045,0.076,0.045,8,120
63,2017-10-09 16:42:13.4,271.5,0.047,0.078,0.047,11,120
64,2017-10-09 16:42:14.4,271.3,0.047,0.078,0.047,14,120
65,2017-10-09 16:42:15.4,270.8,0.049,0.08,0.049,0,180
66,2017-10-09 16:42:16.4,271.1,0.05,0.081,0.05,2,180
67,2017-10-09 16:42:17.4,271.2,0.052,0.083,0.052,2,180
68,2017-10-09 16:42:18.4,271.2,0.055,0.085,0.054,2,180
69,2017-10-09 16:42:19.4,271,0.055,0.083,0.052,2,180
70,2017-10-09 16:42:20.4,270.8,0.055,0.084,0.053,0,60
71,2017-10-09 16:42:21.4,271,0.056,0.087,0.056,4,60
72,2017-10-09 16:42:22.4,270.8,0.059,0.09,0.059,7,60
73,2017-10-09 16:42:23.4,270.8,0.062,0.093,0.062,10,60
74,2017-10-09 16:42:24.4,270.8,0.065,0.096,0.065,14,60
75,2017-10-09 16:42:25.4,270.8,0.068,0.099,0.068,0,204
76,2017-10-09 16:42:26.4,270.8,0.069,0.1,0.069,4,204
77,2017-10-09 16:42:27.4,270.8,0.069,0.1,0.069,6,204
78,2017-10-09 16:42:28.4,270.8,0.069,0.1,0.069,9,204
79,2017-10-09 16:42:29.4,270.3,0.072,0.103,0.072,11,204
80,2017-10-09 16:42:30.4,270.7,0.076,0.107,0.076,0,204
81,2017-10-09 16:42:31.4,270.7,0.079,0.11,0.079,3,204
82,2017-10-09 16:42:32.4,270.7,0.082,0.113,0.082,6,204
