No.,Date and time,FORCE [none] (32),Max [none] (28),TORQE [NM] (11),TRAVEL [M] (3),TURN [pulses] (4),PIPE No [none] (15)
1,2017-10-11 11:03:58.0,0,0,0,0,0,0
2,2017-10-11 11:04:29.3,249.2,0.003,0,0.003,0,1
3,2017-10-11 11:04:34.3,249.2,0,0,0.003,0,1
4,2017-10-11 11:04:39.3,249.2,0,0,0.003,0,1
5,2017-10-11 11:04:44.3,249.2,0,0,0.003,0,1
6,2017-10-11 11:04:49.3,249.2,0,0,0.003,0,1
7,2017-10-11 11:04:54.3,249.3,0,0,0.003,0,1
8,2017-10-11 11:06:10.9,248.2,0.044,0,0.047,0,1
9,2017-10-11 11:06:15.9,248,0.109,0,0.159,7,1
10,2017-10-11 11:06:20.9,247.5,0.211,0,0.261,22,1
11,2017-10-11 11:06:25.9,248,0.319,0,0.369,48,1
12,2017-10-11 11:06:30.9,247.5,0.396,0,0.446,71,1
13,2017-10-11 11:06:35.9,247.8,0.439,0,0.489,91,1
14,2017-10-11 11:06:41.0,246.8,0.468,0,0.518,107,1
15,2017-10-11 11:06:46.0,247.2,0.565,0,0.615,125,1
16,2017-10-11 11:06:51.0,247,0.604,0,0.654,154,1
17,2017-10-11 11:06:56.0,247.5,0.696,0,0.746,178,1
18,2017-10-11 11:07:01.0,247.5,0.743,0,0.793,195,1
19,2017-10-11 11:07:06.0,247.3,0.779,0,0.829,210,1
20,2017-10-11 11:07:11.0,247.5,0.821,0,0.871,222,1
21,2017-10-11 11:07:16.0,247.5,0.865,0,0.915,236,1
22,2017-10-11 11:07:21.0,247.3,0.905,0,0.955,251,1
23,2017-10-11 11:07:26.0,247.3,0.947,0,0.997,266,1
24,2017-10-11 11:07:31.0,247.1,0.982,0,1.032,281,1
25,2017-10-11 11:07:36.0,247.5,1.022,0,1.072,300,1
26,2017-10-11 11:07:41.0,247.3,1.061,0,1.111,331,1
27,2017-10-11 11:07:46.0,247.7,1.121,0,1.171,361,1
28,2017-10-11 11:07:51.0,247.6,1.194,0,1.244,384,1
29,2017-10-11 11:07:56.0,247.2,1.298,0,1.348,401,1
30,2017-10-11 11:08:01.0,247.3,1.365,0,1.415,429,1
31,2017-10-11 11:08:06.0,247.3,1.423,0,1.473,450,1
32,2017-10-11 11:08:11.0,246.8,1.493,0,1.543,476,1
33,2017-10-11 11:08:16.0,247.2,1.572,0,1.622,505,1
34,2017-10-11 11:08:21.0,247.3,1.628,0,1.678,532,1
35,2017-10-11 11:08:26.0,246.8,1.672,0,1.722,560,1
36,2017-10-11 11:08:31.0,247.1,1.726,0,1.776,582,1
37,2017-10-11 11:08:36.0,247.2,1.801,0,1.851,601,1
38,2017-10-11 11:08:41.0,246.8,1.862,0,1.912,620,1
39,2017-10-11 11:08:46.0,247,1.926,0,1.976,640,1
40,2017-10-11 11:08:51.0,246.7,1.981,0,2.031,666,1
41,2017-10-11 11:08:56.0,246.7,2.029,0,2.079,693,1
42,2017-10-11 11:09:01.0,246.8,2.079,0,2.129,719,1
43,2017-10-11 11:09:06.0,246.5,2.144,0,2.194,736,1
44,2017-10-11 11:09:11.0,246.7,2.206,0,2.256,752,1
45,2017-10-11 11:09:16.0,246.7,2.259,0,2.309,774,1
46,2017-10-11 11:09:21.0,247,2.293,0,2.343,795,1
47,2017-10-11 11:09:26.0,246.5,2.326,0,2.376,813,1
48,2017-10-11 11:09:31.0,246.3,2.375,0,2.425,837,1
49,2017-10-11 11:09:36.0,246,2.46,0,2.51,856,1
50,2017-10-11 11:09:41.0,246,2.54,0,2.59,873,1
51,2017-10-11 11:09:46.0,246,2.601,0,2.651,889,1
52,2017-10-11 11:09:51.0,245.5,2.65,0,2.7,910,1
53,2017-10-11 11:09:56.0,245.3,2.708,0,2.758,925,1
54,2017-10-11 11:10:01.0,245.9,2.809,0,2.859,951,1
55,2017-10-11 11:10:06.0,245.3,2.892,0,2.942,978,1
56,2017-10-11 11:10:11.0,245.5,2.965,0,3.015,1004,1
57,2017-10-11 11:10:16.0,245.5,3.021,0,3.071,1030,1
58,2017-10-11 11:10:33.0,245,3.064,0,0.074,1043,2
59,2017-10-11 11:10:38.0,245.5,3.102,0,0.139,9,2
60,2017-10-11 11:10:43.0,245.2,3.204,0,0.241,37,2
61,2017-10-11 11:10:48.0,245.4,3.286,0,0.323,62,2
62,2017-10-11 11:10:53.0,245.3,3.394,0,0.431,82,2
63,2017-10-11 11:10:58.0,245.2,3.492,0,0.529,102,2
64,2017-10-11 11:11:03.1,245.7,3.521,0,0.558,114,2
65,2017-10-11 11:11:08.1,245.7,3.556,0,0.593,135,2
66,2017-10-11 11:11:13.1,245.5,3.593,0,0.63,153,2
67,2017-10-11 11:11:18.1,245.5,3.628,0,0.665,165,2
68,2017-10-11 11:11:23.1,245.5,3.672,0,0.709,183,2
69,2017-10-11 11:11:28.1,245,3.732,0,0.769,207,2
70,2017-10-11 11:11:33.1,245,3.795,0,0.832,226,2
71,2017-10-11 11:11:38.1,244.5,3.844,0,0.881,242,2
72,2017-10-11 11:11:43.1,244.6,3.882,0,0.919,258,2
73,2017-10-11 11:11:48.1,244.7,3.96,0,0.997,272,2
74,2017-10-11 11:11:53.1,244.8,4.01,0,1.047,286,2
75,2017-10-11 11:11:58.1,244.5,4.063,0,1.1,299,2
76,2017-10-11 11:12:03.1,244.5,4.114,0,1.151,317,2
77,2017-10-11 11:12:08.1,244.4,4.138,0,1.175,341,2
78,2017-10-11 11:12:13.1,244,4.206,0,1.243,363,2
79,2017-10-11 11:12:18.1,244.5,4.278,0,1.315,389,2
