No.,Date and time,FORCE [none] (32),Depth [METER] (28),TORQE [NM] (11),TRAVEL [none] (3),TURN [pulses] (4),PIPE No [none] (15)
1,2017-12-20 10:56:31.0,-0.88,0,-0.55,3.564,0,0
2,2017-12-20 10:57:30.8,-0.9,3.563,-0.6,3.563,0,1
3,2017-12-20 10:57:32.8,-0.9,0.001,-0.625,3.563,0,1
4,2017-12-20 10:57:34.8,-0.9,0.001,-0.575,3.563,0,1
5,2017-12-20 10:57:36.8,-0.9,0.001,-0.55,3.563,0,1
6,2017-12-20 10:57:38.8,-0.9,0.001,-0.6,3.563,0,1
7,2017-12-20 10:57:40.8,-0.9,0.001,-0.575,3.563,0,1
8,2017-12-20 10:57:42.8,-0.9,0.001,-0.6,3.563,0,1
9,2017-12-20 10:57:44.8,-0.9,0.001,-0.575,3.563,0,1
10,2017-12-20 10:57:46.8,-0.9,0.001,-0.6,3.563,0,1
11,2017-12-20 10:57:48.8,-0.9,0.001,-0.6,3.563,0,1
12,2017-12-20 10:57:50.8,-0.9,0.001,-0.6,3.563,0,1
13,2017-12-20 10:57:52.8,-0.9,0.001,-0.6,3.563,0,1
14,2017-12-20 10:57:54.8,-0.9,0.001,-0.6,3.563,0,1
15,2017-12-20 10:57:56.8,-0.9,0.001,-0.55,3.563,0,1
16,2017-12-20 10:57:58.8,-0.9,0.001,-0.575,3.563,0,1
17,2017-12-20 10:58:00.9,-0.9,0.001,-0.575,3.563,0,1
18,2017-12-20 10:58:02.9,-0.9,0.001,-0.6,3.563,0,1
19,2017-12-20 10:58:04.9,-0.9,0.001,-0.6,3.563,0,1
20,2017-12-20 10:58:06.9,-0.9,0.001,-0.625,3.563,0,1
21,2017-12-20 10:58:08.9,-0.9,0.001,-0.6,3.563,0,1
22,2017-12-20 10:58:10.9,-0.9,0.001,-0.6,3.563,0,1
23,2017-12-20 10:58:12.9,-0.9,0.001,-0.7,3.563,0,1
24,2017-12-20 10:58:14.9,-0.9,0.001,-0.7,3.563,0,1
25,2017-12-20 10:58:16.9,-0.9,0.001,-0.675,3.563,0,1
26,2017-12-20 10:58:18.9,-0.9,0.001,-0.675,3.563,0,1
27,2017-12-20 10:58:20.9,-0.9,0.001,-0.675,3.563,0,1
28,2017-12-20 10:58:22.9,-0.9,0.001,-0.675,3.563,0,1
29,2017-12-20 10:58:24.9,-0.9,0.001,-0.675,3.563,0,1
30,2017-12-20 10:58:30.9,-100.35,0.001,-100.225,-2.512,1,2
31,2017-12-20 10:58:32.9,-0.9,3.566,-0.625,3.565,0,2
32,2017-12-20 10:58:34.9,-0.9,3.566,-0.6,3.564,0,2
33,2017-12-20 10:58:36.9,-0.9,3.566,-0.625,3.564,0,2
34,2017-12-20 10:58:38.9,-0.9,3.566,-0.625,3.564,0,2
35,2017-12-20 10:58:40.9,-0.9,3.566,-0.625,3.564,0,2
36,2017-12-20 10:58:42.9,-0.9,3.566,-0.575,3.564,0,2
37,2017-12-20 10:58:44.9,-0.9,3.566,-0.6,3.563,0,2
38,2017-12-20 10:58:46.9,-0.9,3.566,-0.6,3.563,0,2
39,2017-12-20 10:58:48.9,-0.9,3.566,-0.6,3.563,0,2
40,2017-12-20 10:58:50.9,-0.9,3.566,-0.6,3.563,0,2
41,2017-12-20 10:58:52.9,-0.9,3.566,-0.65,3.563,0,2
42,2017-12-20 10:58:54.9,-0.9,3.566,-0.6,3.563,0,2
43,2017-12-20 10:58:56.9,-0.92,3.566,-0.625,3.563,0,2
44,2017-12-20 10:58:58.9,-0.9,3.566,-0.625,3.563,0,2
45,2017-12-20 10:59:01.0,-0.9,3.566,-0.6,3.563,0,2
46,2017-12-20 10:59:03.0,-0.9,3.566,-0.6,3.563,0,2
47,2017-12-20 10:59:05.0,-0.9,3.566,-0.6,3.563,0,2
48,2017-12-20 10:59:32.7,-100.37,3.566,-100.25,-2.512,0,3
49,2017-12-20 10:59:34.7,-0.93,0.005,-0.475,3.566,0,3
50,2017-12-20 10:59:36.7,-0.9,0.005,-0.475,3.565,0,3
51,2017-12-20 10:59:38.7,-0.9,0.005,-0.45,3.565,0,3
52,2017-12-20 10:59:40.7,-0.92,0.005,-0.425,3.565,0,3
53,2017-12-20 10:59:42.7,-0.9,0.005,-0.45,3.564,0,3
54,2017-12-20 11:00:34.0,155.4978,0.005,7.7175,3.467,0,1
55,2017-12-20 11:00:36.0,-0.62,0,8.505,3.467,0,1
56,2017-12-20 11:00:57.8,-0.67,0.004,8.0325,3.471,0,1
57,2017-12-20 11:00:59.8,-0.67,0,8.3475,3.471,0,1
58,2017-12-20 11:01:01.8,-0.67,0,98.28,3.471,4,1
59,2017-12-20 11:01:03.8,-0.67,0.006,102.8475,3.477,7,1
60,2017-12-20 11:01:05.8,-0.72,0.049,102.5325,3.52,11,1
61,2017-12-20 11:01:07.8,-0.77,0.117,107.5725,3.588,14,1
62,2017-12-20 11:01:09.8,-0.84,0.179,108.2025,3.65,18,1
63,2017-12-20 11:01:11.8,-0.85,0.202,103.635,3.673,21,1
64,2017-12-20 11:01:13.8,-0.85,0.219,102.8475,3.69,24,1
