No.,Date and time,DRAW WIRE [MM] (3)
1,2017-09-19 15:56:24.2,1.88
2,2017-09-19 15:57:36.3,1.88
3,2017-09-19 15:57:41.3,1.88
4,2017-09-19 15:57:46.3,1.56
5,2017-09-19 15:57:51.3,1.56
6,2017-09-19 15:57:56.3,1.56
7,2017-09-19 15:58:01.3,1.56
8,2017-09-19 15:58:06.4,1.56
9,2017-09-19 15:58:11.4,1.88
10,2017-09-19 15:58:16.4,1.88
11,2017-09-19 15:58:21.4,1.88
12,2017-09-19 15:58:26.4,1.56
13,2017-09-19 15:58:31.4,1.88
14,2017-09-19 15:58:36.4,1.56
15,2017-09-19 15:58:41.4,1.88
16,2017-09-19 15:58:46.4,1.56
17,2017-09-19 15:58:51.4,1.56
18,2017-09-19 15:58:56.4,1.56
19,2017-09-19 15:59:01.4,1.56
20,2017-09-19 15:59:06.4,1.56
21,2017-09-19 15:59:11.4,1.56
22,2017-09-19 15:59:16.4,1.56
23,2017-09-19 15:59:21.4,148.75
24,2017-09-19 15:59:26.4,330.31
25,2017-09-19 15:59:31.4,429.38
26,2017-09-19 15:59:36.4,483.13
27,2017-09-19 15:59:41.4,17.81
28,2017-09-19 15:59:46.4,230.63
29,2017-09-19 15:59:51.4,397.81
30,2017-09-19 15:59:56.4,352.19
31,2017-09-19 16:00:01.4,16.56
32,2017-09-19 16:00:06.4,1.56
33,2017-09-19 16:00:07.3,1.56
34,2017-09-19 16:00:12.3,1.56
35,2017-09-19 16:00:17.3,81.56
36,2017-09-19 16:00:22.3,574.69
37,2017-09-19 16:00:27.3,1.56
38,2017-09-19 16:00:32.3,1.56
39,2017-09-19 16:00:37.4,1.56
40,2017-09-19 16:00:42.4,1.56
41,2017-09-19 16:00:47.4,1.56
42,2017-09-19 16:00:52.4,1.56
43,2017-09-19 16:00:57.4,1.56
44,2017-09-19 16:01:02.4,1.56
45,2017-09-19 16:01:07.4,1.56
46,2017-09-19 16:01:12.4,1.56
47,2017-09-19 16:01:17.4,1.56
48,2017-09-19 16:01:22.4,1.56
49,2017-09-19 16:01:27.4,1.56
50,2017-09-19 16:01:32.4,1.56
51,2017-09-19 16:01:37.4,1.56
52,2017-09-19 16:11:45.6,1.56
53,2017-09-19 16:11:50.6,1.56
54,2017-09-19 16:11:55.6,1.56
55,2017-09-19 16:12:00.6,1.56
56,2017-09-19 16:12:05.6,1.56
57,2017-09-19 16:12:10.6,1.56
58,2017-09-19 16:12:15.7,1.56
59,2017-09-19 16:12:20.7,1.56
60,2017-09-19 16:12:25.7,1.56
61,2017-09-19 16:12:30.7,1.56
62,2017-09-19 16:12:35.7,1.56
63,2017-09-19 16:12:40.7,1.56
64,2017-09-19 16:12:45.7,1.56
65,2017-09-19 16:12:50.7,1.56
66,2017-09-19 16:12:55.7,1.56
67,2017-09-19 16:13:00.7,1.56
68,2017-09-19 16:13:05.7,1.56
69,2017-09-19 16:13:10.7,1.56
70,2017-09-19 16:13:15.7,1.56
71,2017-09-19 16:13:20.7,1.56
72,2017-09-19 16:13:25.7,1.56
73,2017-09-19 16:13:30.7,1.56
74,2017-09-19 16:13:35.7,1.56
75,2017-09-19 16:13:40.7,1.56
76,2017-09-19 16:13:45.7,1.56
77,2017-09-19 16:13:50.7,1.56
78,2017-09-19 16:13:55.7,1.56
79,2017-09-19 16:14:00.7,1.56
80,2017-09-19 16:14:05.7,1.56
81,2017-09-19 16:14:10.7,1.56
82,2017-09-19 16:14:15.7,1.56
83,2017-09-19 16:14:20.7,1.56
84,2017-09-19 16:14:25.7,1.56
85,2017-09-19 16:14:30.7,1.56
86,2017-09-19 16:14:35.7,1.56
87,2017-09-19 16:14:40.7,1.56
88,2017-09-19 16:14:45.7,1.56
89,2017-09-19 16:14:50.7,1.56
90,2017-09-19 16:14:55.7,1.56
91,2017-09-19 16:15:00.7,1.56
92,2017-09-19 16:15:05.7,1.56
93,2017-09-19 16:15:10.7,1.56
94,2017-09-19 16:15:15.7,399.69
95,2017-09-19 16:15:20.7,1.56
96,2017-09-19 16:15:25.7,1.56
97,2017-09-19 16:15:30.7,1.56
98,2017-09-19 16:15:35.7,1.56
99,2017-09-19 16:15:40.7,1.56
100,2017-09-19 16:15:45.7,1.56
101,2017-09-19 16:15:49.0,1.56
102,2017-09-19 16:15:54.0,1.56
103,2017-09-19 16:15:59.0,327.19
104,2017-09-19 16:16:04.0,543.13
105,2017-09-19 16:16:09.0,18.75
106,2017-09-19 16:16:14.0,443.13
107,2017-09-19 16:16:19.1,677.81
108,2017-09-19 16:16:24.1,1.56
109,2017-09-19 16:16:29.1,1.56
110,2017-09-19 16:16:34.1,1.56
111,2017-09-19 16:16:39.1,1.56
112,2017-09-19 16:16:44.1,1.56
113,2017-09-19 16:16:49.1,1.56
114,2017-09-19 16:18:43.8,1.56
115,2017-09-19 16:18:48.8,1.56
116,2017-09-19 16:18:53.8,1.56
117,2017-09-19 16:18:58.8,531.25
118,2017-09-19 16:19:03.8,498.75
119,2017-09-19 16:19:08.8,1.56
120,2017-09-19 16:19:13.9,1.56
121,2017-09-19 16:19:18.9,1.56
122,2017-09-19 16:19:23.9,1.56
123,2017-09-19 16:19:28.9,1.56
124,2017-09-19 16:19:33.9,1.56
