No.,Date and time,Pressure [BAR] (1),TOUGH SONIC [mm] (2),DRAW WIRE [MM] (3),RPM [none] (11)
1,2017-09-19 15:56:25.9,38.6,312,1.88,0
2,2017-09-19 15:57:36.3,38.5,312,1.88,0
3,2017-09-19 15:57:37.3,38.52,313,1.88,0
4,2017-09-19 15:57:38.3,38.55,312,1.56,0
5,2017-09-19 15:57:39.3,38.5,312,1.88,0
6,2017-09-19 15:57:40.3,38.54,312,1.56,0
7,2017-09-19 15:57:41.3,38.5,312,1.88,0
8,2017-09-19 15:57:42.3,38.5,312,1.56,0
9,2017-09-19 15:57:43.3,38.52,314,1.88,0
10,2017-09-19 15:57:44.3,38.53,312,1.88,0
11,2017-09-19 15:57:45.3,38.53,312,1.88,0
12,2017-09-19 15:57:46.3,38.51,312,1.56,0
13,2017-09-19 15:57:47.3,38.51,312,1.56,36
14,2017-09-19 15:57:48.3,38.55,314,1.56,48
15,2017-09-19 15:57:49.3,38.48,312,1.56,72
16,2017-09-19 15:57:50.3,38.47,312,1.56,108
17,2017-09-19 15:57:51.3,38.5,312,1.56,24
18,2017-09-19 15:57:52.3,38.45,312,1.56,24
19,2017-09-19 15:57:53.3,38.47,312,1.56,60
20,2017-09-19 15:57:54.3,38.5,312,1.56,84
21,2017-09-19 15:57:55.3,38.48,312,1.56,108
22,2017-09-19 15:57:56.3,38.5,312,1.56,108
23,2017-09-19 15:57:57.3,38.52,312,1.56,108
24,2017-09-19 15:57:58.3,38.48,312,1.56,108
25,2017-09-19 15:57:59.3,38.52,312,1.88,108
26,2017-09-19 15:58:00.3,38.5,312,1.56,48
27,2017-09-19 15:58:01.3,38.5,312,1.56,48
28,2017-09-19 15:58:02.3,38.52,312,1.56,72
29,2017-09-19 15:58:03.3,38.48,312,1.88,96
30,2017-09-19 15:58:04.3,38.48,312,1.88,96
31,2017-09-19 15:58:05.3,38.45,312,1.88,132
32,2017-09-19 15:58:06.4,38.5,312,1.56,24
33,2017-09-19 15:58:07.4,38.49,312,1.88,60
34,2017-09-19 15:58:08.4,38.5,312,1.88,84
35,2017-09-19 15:58:09.4,38.48,312,1.88,108
36,2017-09-19 15:58:10.4,38.48,312,1.56,108
37,2017-09-19 15:58:11.4,38.48,312,1.88,108
38,2017-09-19 15:58:12.4,38.48,312,1.56,108
39,2017-09-19 15:58:13.4,38.47,312,1.88,108
40,2017-09-19 15:58:14.4,38.5,312,1.88,108
41,2017-09-19 15:58:15.4,38.48,313,1.88,84
42,2017-09-19 15:58:16.4,38.5,312,1.88,24
43,2017-09-19 15:58:17.4,38.48,312,1.56,36
44,2017-09-19 15:58:18.4,38.48,312,1.56,60
45,2017-09-19 15:58:19.4,38.43,314,1.88,84
46,2017-09-19 15:58:20.4,38.45,313,1.56,108
47,2017-09-19 15:58:21.4,38.47,312,1.88,120
48,2017-09-19 15:58:22.4,38.47,312,1.88,120
49,2017-09-19 15:58:23.4,38.47,313,1.56,120
50,2017-09-19 15:58:24.4,38.52,312,1.56,120
51,2017-09-19 15:58:25.4,38.48,312,1.88,72
52,2017-09-19 15:58:26.4,38.48,312,1.56,72
53,2017-09-19 15:58:27.4,38.48,312,1.56,72
54,2017-09-19 15:58:28.4,38.48,314,1.56,72
55,2017-09-19 15:58:29.4,38.49,312,1.88,72
56,2017-09-19 15:58:30.4,38.43,312,1.56,72
57,2017-09-19 15:58:31.4,38.47,312,1.88,0
58,2017-09-19 15:58:32.4,38.48,312,1.56,12
59,2017-09-19 15:58:33.4,38.48,312,1.88,24
60,2017-09-19 15:58:34.4,38.48,313,1.56,36
61,2017-09-19 15:58:35.4,38.5,314,1.56,48
62,2017-09-19 15:58:36.4,38.48,312,1.56,48
63,2017-09-19 15:58:37.4,38.48,312,1.88,48
64,2017-09-19 15:58:38.4,38.52,312,1.56,48
65,2017-09-19 15:58:39.4,38.48,312,1.56,48
66,2017-09-19 15:58:40.4,38.45,312,1.88,60
67,2017-09-19 15:58:41.4,38.47,312,1.88,60
68,2017-09-19 15:58:42.4,38.47,312,1.56,60
69,2017-09-19 15:58:43.4,38.47,312,1.56,60
70,2017-09-19 15:58:44.4,38.5,312,1.56,60
71,2017-09-19 15:58:45.4,38.48,312,1.56,60
72,2017-09-19 15:58:46.4,38.48,312,1.56,60
73,2017-09-19 15:58:47.4,38.47,312,1.56,60
74,2017-09-19 15:58:48.4,38.47,314,1.56,60
75,2017-09-19 15:58:49.4,38.47,312,1.56,60
76,2017-09-19 15:58:50.4,38.48,312,1.56,60
77,2017-09-19 15:58:51.4,38.48,312,1.56,60
78,2017-09-19 15:58:52.4,38.51,312,1.56,60
79,2017-09-19 15:58:53.4,38.5,312,1.56,60
80,2017-09-19 15:58:54.4,38.5,312,1.56,60
81,2017-09-19 15:58:55.4,38.52,312,1.56,60
82,2017-09-19 15:58:56.4,38.48,312,1.56,60
83,2017-09-19 15:58:57.4,38.51,312,1.88,60
84,2017-09-19 15:58:58.4,38.48,312,1.56,60
85,2017-09-19 15:58:59.4,38.48,312,1.56,60
86,2017-09-19 15:59:00.4,38.48,312,1.56,60
87,2017-09-19 15:59:01.4,38.47,312,1.56,60
88,2017-09-19 15:59:02.4,38.45,312,1.56,60
89,2017-09-19 15:59:03.4,38.47,312,1.56,60
90,2017-09-19 15:59:04.4,38.43,312,1.56,60
91,2017-09-19 15:59:05.4,38.43,314,1.88,72
92,2017-09-19 15:59:06.4,38.47,312,1.56,72
93,2017-09-19 15:59:07.4,38.45,312,1.56,72
94,2017-09-19 15:59:08.4,38.47,312,1.56,72
95,2017-09-19 15:59:09.4,38.48,312,1.88,72
96,2017-09-19 15:59:10.4,38.47,312,1.56,24
97,2017-09-19 15:59:11.4,38.47,312,1.56,24
98,2017-09-19 15:59:12.4,38.47,313,1.56,24
99,2017-09-19 15:59:13.4,38.47,312,1.56,36
100,2017-09-19 15:59:14.4,38.48,312,1.56,36
101,2017-09-19 15:59:15.4,38.45,312,1.56,36
102,2017-09-19 15:59:16.4,38.45,312,1.56,36
103,2017-09-19 15:59:17.4,38.43,312,5.31,36
104,2017-09-19 15:59:18.4,38.46,312,50,36
105,2017-09-19 15:59:19.4,38.47,312,85.94,36
106,2017-09-19 15:59:20.4,38.47,313,120.31,0
107,2017-09-19 15:59:21.4,38.45,312,148.75,0
108,2017-09-19 15:59:22.4,38.47,312,178.75,0
109,2017-09-19 15:59:23.4,38.45,312,225.63,0
110,2017-09-19 15:59:24.4,38.43,312,264.69,0
111,2017-09-19 15:59:25.4,38.45,312,316.25,0
112,2017-09-19 15:59:26.4,38.43,312,330.31,0
113,2017-09-19 15:59:27.4,38.43,312,349.69,0
114,2017-09-19 15:59:28.4,38.42,314,376.56,0
115,2017-09-19 15:59:29.4,38.42,312,395.63,0
116,2017-09-19 15:59:30.4,38.42,312,400.94,0
117,2017-09-19 15:59:31.4,38.42,312,429.38,0
118,2017-09-19 15:59:32.4,38.42,312,461.56,0
119,2017-09-19 15:59:33.4,38.47,312,494.06,0
120,2017-09-19 15:59:34.4,38.45,312,525.94,0
121,2017-09-19 15:59:35.4,38.43,312,536.56,0
122,2017-09-19 15:59:36.4,38.43,312,483.13,0
123,2017-09-19 15:59:37.4,38.43,312,433.75,0
124,2017-09-19 15:59:38.4,38.43,312,345,0
125,2017-09-19 15:59:39.4,38.4,312,210,0
126,2017-09-19 15:59:40.4,38.42,312,95.94,0
127,2017-09-19 15:59:41.4,38.42,312,17.81,0
128,2017-09-19 15:59:42.4,38.42,314,1.56,0
129,2017-09-19 15:59:43.4,38.42,312,2.81,0
130,2017-09-19 15:59:44.4,38.42,312,70,0
131,2017-09-19 15:59:45.4,38.42,312,163.75,0
132,2017-09-19 15:59:46.4,38.43,312,230.63,0
133,2017-09-19 15:59:47.4,38.43,312,310.63,0
134,2017-09-19 15:59:48.4,38.4,312,375.63,0
135,2017-09-19 15:59:49.4,38.47,312,397.81,0
136,2017-09-19 15:59:50.4,38.43,312,397.81,0
137,2017-09-19 15:59:51.4,38.45,312,397.81,0
138,2017-09-19 15:59:52.4,38.43,312,396.88,0
139,2017-09-19 15:59:53.4,38.43,312,372.19,0
140,2017-09-19 15:59:54.4,38.4,312,365,0
141,2017-09-19 15:59:55.4,38.42,312,355.31,0
142,2017-09-19 15:59:56.4,38.42,312,352.19,0
143,2017-09-19 15:59:57.4,38.44,312,319.69,0
144,2017-09-19 15:59:58.4,38.43,313,254.06,0
145,2017-09-19 15:59:59.4,38.43,314,188.13,0
146,2017-09-19 16:00:00.4,38.43,312,91.88,0
147,2017-09-19 16:00:01.4,38.42,312,16.56,0
148,2017-09-19 16:00:02.4,38.42,312,1.56,0
149,2017-09-19 16:00:03.4,38.42,312,1.56,0
150,2017-09-19 16:00:04.4,38.4,312,1.56,0
151,2017-09-19 16:00:05.4,38.42,312,1.56,0
152,2017-09-19 16:00:06.4,38.42,312,1.56,0
153,2017-09-19 16:00:07.3,38.38,312,1.56,0
154,2017-09-19 16:00:08.3,38.4,312,1.56,0
155,2017-09-19 16:00:09.3,38.4,312,1.56,0
156,2017-09-19 16:00:10.3,38.42,312,1.56,0
157,2017-09-19 16:00:11.3,38.4,312,1.56,0
158,2017-09-19 16:00:12.3,38.44,312,1.56,0
159,2017-09-19 16:00:13.3,38.38,312,1.56,0
160,2017-09-19 16:00:14.3,38.4,312,1.56,0
161,2017-09-19 16:00:15.3,38.42,312,1.56,0
162,2017-09-19 16:00:16.3,38.4,312,2.5,0
163,2017-09-19 16:00:17.3,38.4,312,81.56,0
164,2017-09-19 16:00:18.3,38.42,312,158.44,0
165,2017-09-19 16:00:19.3,38.42,312,239.69,0
166,2017-09-19 16:00:20.3,38.42,312,376.88,0
167,2017-09-19 16:00:21.3,38.42,312,490.94,0
168,2017-09-19 16:00:22.3,38.4,312,574.69,0
169,2017-09-19 16:00:23.3,38.39,312,532.5,0
170,2017-09-19 16:00:24.3,38.36,312,145.31,0
171,2017-09-19 16:00:25.3,38.42,312,1.56,0
